run_id	cell	completed_at_utc	source_commit	st2_commit	harness	model	effort	duration_seconds	result	score	usage_json	cleanup	receipt
20260728T132718Z-license-mit-b3cd5fb	license-mit	2026-07-28T13:27:18Z	b3cd5fbd98c11179a4555d0f9bbccfe98351a734	9887b2842222def0838c2cd82e6c24c218f7efa6	mixed	claude-sonnet-5+gpt-5.6-sol	medium	145	FAIL	5/6	{"declared_seats":3,"claude":{"calls":44,"input_tokens":88,"cache_creation_input_tokens":126022,"cache_read_input_tokens":1893167,"output_tokens":7097},"codex":{"input_tokens":257711,"cached_input_tokens":233216,"output_tokens":1232,"reasoning_output_tokens":317,"total_tokens":258943},"api_equivalent_usd":1.14725160}	green	evidence/stable-main-phase4-runs-20260728.json
20260728T155735Z-weird-git-setup-a49fb0f	weird-git-setup	2026-07-28T15:57:35Z	a49fb0ffa00c525e361b3178fb7c35b93538501f	9887b2842222def0838c2cd82e6c24c218f7efa6	Claude	claude-sonnet-5	medium	604	FAIL	5/6	{"declared_seats":1,"calls":19,"input_tokens":70,"cache_creation_input_tokens":121662,"cache_read_input_tokens":1508376,"output_tokens":6040,"api_equivalent_usd":1.27329480}	green	evidence/stable-main-phase4-runs-20260728.json
20260728T195359Z-pty-send-peek-b7da882	pty-send-peek	2026-07-28T19:53:59Z	b7da8826b503e0408e309af8702fb684d28e3a19	9887b2842222def0838c2cd82e6c24c218f7efa6	model-free	-	-	6	PASS	13/13	{"declared_seats":0,"calls":0,"input_tokens":0,"cache_creation_input_tokens":0,"cache_read_input_tokens":0,"output_tokens":0,"api_equivalent_usd":0}	green	evidence/stable-main-phase4-runs-20260728.json
20260728T201020Z-weird-git-setup-28d7fb6	weird-git-setup	2026-07-28T20:10:20Z	28d7fb6e1235dc3680081bb3ee4e67109dc10c89	9887b2842222def0838c2cd82e6c24c218f7efa6	Claude	claude-sonnet-5	medium	604	PASS	6/6	{"declared_seats":1,"calls":19,"input_tokens":38,"cache_creation_input_tokens":60136,"cache_read_input_tokens":811031,"output_tokens":3004,"api_equivalent_usd":0.51399330}	green	evidence/stable-main-phase4-runs-20260728.json
20260811T153932Z-inbox-one-turn-provider-ab-8f042d7	inbox-one-turn-provider-ab	2026-08-11T15:39:32Z	8f042d797bc2bfd3ad48f2e711d2a2f239fff5da	1d06c4b263a7c5a2a6b8eec1f2e8c4fbea5e2edc	mixed	claude-sonnet-5+gpt-5.6-sol	medium	116	FAIL	3/4	{"declared_seats":2,"claude":{"input_tokens":1836,"cache_creation_input_tokens":31048,"cache_read_input_tokens":332968,"output_tokens":1159,"token_volume":367011,"provider_reported_cost_usd":0.3060854},"codex":{"recorded_model_response_events":17,"tool_call_boundaries":11,"input_tokens":532370,"cached_input_tokens":500480,"output_tokens":2916,"reasoning_output_tokens":944,"total_tokens":535286},"api_equivalent_usd":0.3060854}	green	evidence/inbox-one-turn-provider-ab-runs-20260811.json
20260811T154302Z-inbox-one-turn-provider-ab-117edf4	inbox-one-turn-provider-ab	2026-08-11T15:43:02Z	117edf4b6872c34a75921ccdbf95e0709541fc96	c1a0f90dd4814ec3ce8067219530d7bd8723e191	mixed	claude-sonnet-5+gpt-5.6-sol	medium	47	PASS	4/4	{"declared_seats":2,"claude":{"input_tokens":1834,"cache_creation_input_tokens":29862,"cache_read_input_tokens":287080,"output_tokens":1081,"token_volume":319857,"provider_reported_cost_usd":0.284027},"codex":{"recorded_model_response_events":7,"tool_call_boundaries":4,"input_tokens":226271,"cached_input_tokens":196864,"output_tokens":1600,"reasoning_output_tokens":662,"total_tokens":227871},"api_equivalent_usd":0.284027}	green	evidence/inbox-one-turn-provider-ab-runs-20260811.json
