arm	input_kind	initial_source	local_resume_source	steering_source	acceptance_surface	allowed_tools	wall_budget_seconds	model_token_budget	judge_profile	done_condition
A	versioned-catalog-plan	arm-a/catalog-initial/plans/receipt-report/versions/0000.md	local plan catalog inspected through st2 plan	arm-a/catalog/plans/receipt-report/versions/0001.md	evaluator-owned receipt only	node,bash,git	1200	40000	arm-neutral-public-plus-held-out	public and held-out tests pass; only src/report.mjs differs from the seed; no dependency or network change
B	durable-direct-brief	arm-b/inbox/brief-0000.md	local st2 message inbox read through st2 message	arm-b/inbox/brief-0001.md	evaluator-owned receipt only	node,bash,git	1200	40000	arm-neutral-public-plus-held-out	public and held-out tests pass; only src/report.mjs differs from the seed; no dependency or network change
